index,"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test)
1,"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",38,17,0.38181818181818183,8.225341323138847,0.004130943523927066
2,"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",32,11,0.4883720930232558,10.708241359255576,0.0010665936298016598
3,"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",49,5,0.8148148148148148,41.54238681071487,1.1534273536284445e-10
4,"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",73,23,0.5208333333333334,27.369218246090934,1.6808561376091546e-07
5,"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",43,10,0.6226415094339622,22.137570112356567,2.5379387992296998e-06
6,"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",64,12,0.6842105263157895,39.061697986539365,4.1062131472813235e-10
7,"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",103,56,0.29559748427672955,14.102828049670656,0.0001730833571720325
8,"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",111,34,0.5310344827586206,43.06811742565471,5.286682203120563e-11
9,"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",61,13,0.6486486486486487,33.799443651798704,6.109633354789423e-09
10,"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",86,12,0.7551020408163265,62.98871612083253,2.1094237467877974e-15
11,"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",204,87,0.4020618556701031,48.39848772641741,3.4783287361506154e-12
12,"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",144,53,0.4619289340101523,43.67489313226406,3.877143051056464e-11
13,"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",146,47,0.5129533678756477,53.28340687843284,2.887690087050032e-13
14,"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",109,8,0.8632478632478633,,0.0
15,"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",90,10,0.8,73.6128414336994,0.0
16,"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",271,128,0.3583959899749373,52.408387888945235,4.5075054799781356e-13
17,"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",280,91,0.5094339622641509,,0.0
