index,"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test)
1,"[(0.9, 0.95), (0.0, 0.05), (0.05, 0.1)]",7,5,0.16666666666666666,0.3348939496420696,0.5627914645962944
2,"[(0.85, 0.9), (0.0, 0.05), (0.05, 0.1)]",4,3,0.14285714285714285,0.14334706203263078,0.7049759945629002
3,"[(0.85, 0.9), (0.0, 0.05), (0.1, 0.15)]",11,3,0.5714285714285714,4.859885560024034,0.02748815937350768
4,"[(0.8, 0.85), (0.05, 0.1), (0.1, 0.15)]",9,7,0.125,0.25065514507158776,0.6166141470344185
5,"[(0.8, 0.85), (0.0, 0.05), (0.1, 0.15)]",6,3,0.3333333333333333,1.019394220772384,0.31266274477969425
6,"[(0.8, 0.85), (0.0, 0.05), (0.15, 0.2)]",13,4,0.5294117647058824,5.016788624085879,0.025102683535257686
7,"[(0.75, 0.8), (0.05, 0.1), (0.1, 0.15)]",5,7,-0.16666666666666666,0.3348939496420696,0.5627914645962944
8,"[(0.75, 0.8), (0.05, 0.1), (0.15, 0.2)]",10,0,1.0,13.862943611198906,0.00019663765560207214
9,"[(0.75, 0.8), (0.0, 0.05), (0.15, 0.2)]",5,2,0.42857142857142855,1.328286287645632,0.24911031792271165
10,"[(0.75, 0.8), (0.0, 0.05), (0.2, 0.25)]",16,1,0.8823529411764706,15.96058955279979,6.467496183948374e-05
11,"[(0.7, 0.75), (0.1, 0.15), (0.15, 0.2)]",11,8,0.15789473684210525,0.4756723213947089,0.49038914428959157
12,"[(0.7, 0.75), (0.05, 0.1), (0.15, 0.2)]",14,2,0.75,10.124064617712271,0.0014634590884121668
13,"[(0.7, 0.75), (0.05, 0.1), (0.2, 0.25)]",11,3,0.5714285714285714,4.859885560024034,0.02748815937350768
14,"[(0.7, 0.75), (0.0, 0.05), (0.2, 0.25)]",13,0,1.0,18.021826694558577,2.1838664112538986e-05
15,"[(0.7, 0.75), (0.0, 0.05), (0.25, 0.3)]",15,1,0.875,14.69937669931155,0.00012608813291681287
16,"[(0.65, 0.7), (0.1, 0.15), (0.15, 0.2)]",5,5,0.0,-0.0,1.0
17,"[(0.65, 0.7), (0.1, 0.15), (0.2, 0.25)]",26,8,0.5294117647058824,10.033577248171744,0.0015371222733080447
18,"[(0.65, 0.7), (0.05, 0.1), (0.2, 0.25)]",15,3,0.6666666666666666,8.733094980971066,0.0031248562360639554
19,"[(0.65, 0.7), (0.05, 0.1), (0.25, 0.3)]",10,2,0.6666666666666666,5.822063320647372,0.015826368796540202
20,"[(0.65, 0.7), (0.0, 0.05), (0.25, 0.3)]",8,1,0.7777777777777778,6.19767152490444,0.012791848981090315
21,"[(0.65, 0.7), (0.0, 0.05), (0.3, 0.35)]",19,2,0.8095238095238095,15.903509129698458,6.665501857705536e-05
22,"[(0.6, 0.65), (0.15, 0.2), (0.2, 0.25)]",18,2,0.8,14.722568286739886,0.00012454651922200188
23,"[(0.6, 0.65), (0.1, 0.15), (0.2, 0.25)]",13,9,0.18181818181818182,0.7313336829235959,0.3924512312653682
