Tb,Tc,Tr
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0.9996,0,4.00E-04
0.9994,0,6.00E-04
0.9993,0,7.00E-04
0.9978,0,0.0022
0.9976,0.0011,0.0013
0.9975,0,0.0025
0.9972,0,0.0028
0.9963,0.0037,0
0.9962,0.0028,0.001
0.9957,0,0.0043
0.9953,0,0.0047
0.9943,0.0041,0.0016
0.9941,0.0031,0.0028
0.9938,0.0049,0.0013
0.9936,0.0035,0.0029
0.993,0.0047,0.0023
0.993,0.006,0.001
0.9928,0,0.0072
0.9927,0.0041,0.0032
0.9921,0.0073,6.00E-04
0.992,0.0043,0.0037
0.9918,0.004,0.0042
0.9916,0,0.0084
0.9916,0,0.0084
0.9902,0.0043,0.0055
0.9895,0.006,0.0045
0.9893,0.0083,0.0024
0.9891,0.0097,0.0012
0.989,0.0062,0.0048
0.9888,0.0079,0.0033
0.9887,0.0027,0.0086
0.9883,0,0.0117
0.9876,0.003,0.0094
0.9871,0.0125,4.00E-04
0.9867,0.007,0.0063
0.9866,0.0053,0.0081
0.9862,0.0082,0.0056
0.9861,0.0085,0.0054
0.9859,0.0029,0.0112
0.9857,0.0053,0.009
0.9854,0.0033,0.0113
0.9848,6.00E-04,0.0146
0.9839,0.0107,0.0054
0.9838,0,0.0162
0.9838,0.0041,0.0121
0.9835,0.0165,0
0.9833,0.0126,0.0041
0.9824,0,0.0176
0.9822,0.012,0.0058
0.9818,0.0021,0.0161
0.9814,0.0186,0
0.9807,0,0.0193
0.9802,0.0074,0.0124
0.9797,0,0.0203
0.9796,0,0.0204
0.9795,0.0183,0.0022
0.9794,0.0096,0.011
0.9788,0.0105,0.0107
0.9786,0.0109,0.0105
0.9785,0.0096,0.0119
0.9785,0.0168,0.0047
0.978,0.0135,0.0085
0.9778,0.0056,0.0166
0.9777,0.0124,0.0099
0.9772,0.0117,0.0111
0.9772,0.0187,0.0041
0.9767,0.0098,0.0135
0.9764,0.0121,0.0115
0.9762,0.0135,0.0103
0.9755,0.0245,0
0.9751,0.0094,0.0155
0.9747,0.015,0.0103
0.9745,8.00E-04,0.0247
0.9745,0.0142,0.0113
0.9742,0,0.0258
0.9733,0.0133,0.0134
0.9732,0.0214,0.0054
0.973,0.0184,0.0086
0.9728,0.0015,0.0257
0.9717,0.0248,0.0035
0.9716,0.0079,0.0205
0.9716,0.02,0.0084
0.9714,0.0118,0.0168
0.9714,0.0259,0.0027
0.9713,0.0204,0.0083
0.971,0.0073,0.0217
0.9709,0.0206,0.0085
0.9708,0.0134,0.0158
0.9707,0.0138,0.0155
0.9703,0.0244,0.0053
0.97,0.0039,0.0261
0.9699,0.0081,0.022
0.9699,0.0141,0.016
0.9694,0.0159,0.0147
0.9694,0.0243,0.0063
0.9693,0.0223,0.0084
0.9686,0.0109,0.0205
0.9683,0.0053,0.0264
0.9683,0.0283,0.0034
0.9679,0.0279,0.0042
0.9678,0.0118,0.0204
0.9677,0.0062,0.0261
0.9673,0,0.0327
0.9669,0.0208,0.0123
0.9668,0.0303,0.0029
0.9664,0.0171,0.0165
0.9657,2.00E-04,0.0341
0.9655,0.0245,0.01
0.9654,0.0261,0.0085
0.9653,0.0234,0.0113
0.9652,0.0019,0.0329
0.9652,0.0218,0.013
0.965,0.0172,0.0178
0.965,0.0233,0.0117
0.9648,0.013,0.0222
0.9639,0.014,0.0221
0.9639,0.0154,0.0207
0.9636,0,0.0364
0.9635,0.0184,0.0181
0.9624,0.0255,0.0121
0.9624,0.0355,0.0021
0.9622,0.0259,0.0119
0.9622,0.0378,0
0.9621,0.028,0.0099
0.9619,0.0021,0.036
0.9618,0.0013,0.0369
0.9614,0.0144,0.0242
0.9613,0.0133,0.0254
0.9613,0.024,0.0147
0.9609,0.0183,0.0208
0.9608,0.0062,0.033
0.9608,0.0171,0.0221
0.9608,0.0295,0.0097
0.9603,0.0058,0.0339
0.9603,0.015,0.0247
0.9599,0.0122,0.0279
0.9598,0.0199,0.0203
0.9598,0.0296,0.0106
0.9593,0,0.0407
0.9589,8.00E-04,0.0403
0.9588,0.025,0.0162
0.9587,0.0183,0.023
0.9587,0.0218,0.0195
0.9584,0.0269,0.0147
0.9583,0.0256,0.0161
0.958,0.0285,0.0135
0.958,0.033,0.009
0.9578,0.0238,0.0184
0.9576,0.0148,0.0276
0.9576,0.0231,0.0193
0.9575,0.0232,0.0193
0.9573,0.0227,0.02
0.9571,0.0232,0.0197
0.9569,0.023,0.0201
0.9568,0.0252,0.018
0.9567,0.0112,0.0321
0.9554,0.0335,0.0111
0.955,0.0241,0.0209
0.9549,0.0301,0.015
0.9546,0.0204,0.025
0.9545,0.0304,0.0151
0.9544,0.0119,0.0337
0.9542,0.0192,0.0266
0.9539,0.0088,0.0373
0.9527,0.0118,0.0355
0.952,0.0202,0.0278
0.9511,0.0194,0.0295
0.9511,0.0413,0.0076
0.9506,0.0117,0.0377
0.9504,0.0249,0.0247
0.9493,0,0.0507
0.949,0.0372,0.0138
0.9488,0.0469,0.0043
0.9485,0.0016,0.0499
0.9482,0.0142,0.0376
0.948,0.0332,0.0188
0.9478,0.0272,0.025
0.9475,0.0199,0.0326
0.9474,0.0029,0.0497
0.947,0.0256,0.0274
0.947,0.0284,0.0246
0.947,0.0407,0.0123
0.9466,0.0167,0.0367
0.9462,0.0384,0.0154
0.9458,0.0379,0.0163
0.9457,0.0244,0.0299
0.9456,0.0269,0.0275
0.9451,0.0505,0.0044
0.9449,0.0281,0.027
0.9447,0.0267,0.0286
0.9441,0.02,0.0359
0.944,0.0258,0.0302
0.944,0.0276,0.0284
0.9438,0.0306,0.0256
0.9435,0.0225,0.034
0.9433,0.0468,0.0099
0.9433,0.0567,0
0.943,0,0.057
0.9426,0.0111,0.0463
0.9426,0.0284,0.029
0.9424,0.0155,0.0421
0.9423,0.0314,0.0263
0.9422,0.0295,0.0283
0.9422,0.0359,0.0219
0.9419,0.0211,0.037
0.9418,0.0265,0.0317
0.9418,0.0273,0.0309
0.9418,0.0294,0.0288
0.9417,0.0319,0.0264
0.9416,0.0363,0.0221
0.9411,0.0193,0.0396
0.9411,0.0313,0.0276
0.941,0.0103,0.0487
0.9409,0.0086,0.0505
0.9408,0.0282,0.031
0.9407,0.0228,0.0365
0.9406,0.0234,0.036
0.9401,0.0309,0.029
0.94,0.0313,0.0287
0.9398,0.0362,0.024
0.9397,0.0408,0.0195
0.9393,0.025,0.0357
0.9393,0.0492,0.0115
0.9391,0.0523,0.0086
0.9384,0.0207,0.0409
0.938,0.0544,0.0076
0.9375,0.0322,0.0303
0.9372,0.0365,0.0263
0.937,0.0231,0.0399
0.937,0.0371,0.0259
0.9367,0.0022,0.0611
0.9367,0.0543,0.009
0.9366,0.0097,0.0537
0.9366,0.0337,0.0297
0.9364,0.017,0.0466
0.9363,0.055,0.0087
0.936,0.006,0.058
0.9359,0.0277,0.0364
0.9357,0.0299,0.0344
0.9357,0.04,0.0243
0.9356,0.0144,0.05
0.9354,0,0.0646
0.9354,0.0411,0.0235
0.9353,0.036,0.0287
0.9352,0.0126,0.0522
0.9352,0.0465,0.0183
0.9351,0.0123,0.0526
0.9351,0.0147,0.0502
0.9351,0.0623,0.0026
0.935,0.0217,0.0433
0.9345,0.0168,0.0487
0.9345,0.0342,0.0313
0.9344,0.0535,0.0121
0.9343,0.0451,0.0206
0.934,0.0345,0.0315
0.9337,0.0358,0.0305
0.9337,0.0415,0.0248
0.9334,0.0403,0.0263
0.933,0.0392,0.0278
0.9329,0.007,0.0601
0.9328,0,0.0672
0.9327,0.0255,0.0418
0.9326,0.0485,0.0189
0.9325,0.0224,0.0451
0.9323,0.0324,0.0353
0.932,0.0282,0.0398
0.9319,0.0309,0.0372
0.9318,0.0307,0.0375
0.9316,0.0275,0.0409
0.9314,0.0257,0.0429
0.9312,0.0229,0.0459
0.9308,0.0217,0.0475
0.9307,0.0241,0.0452
0.9307,0.0246,0.0447
0.9307,0.0312,0.0381
0.9307,0.0609,0.0084
0.9305,0.0062,0.0633
0.9303,0.0212,0.0485
0.9303,0.0258,0.0439
0.9303,0.0351,0.0346
0.9302,0.0252,0.0446
0.9298,0.0321,0.0381
0.9298,0.0379,0.0323
0.9296,0.0368,0.0336
0.9291,0.0502,0.0207
0.929,0.018,0.053
0.929,0.0473,0.0237
0.9288,0.0296,0.0416
0.9286,0.0187,0.0527
0.9285,0.0433,0.0282
0.9283,0.0351,0.0366
0.928,0.0688,0.0032
0.9274,0.0366,0.036
0.9273,0.0441,0.0286
0.9272,0.0702,0.0026
0.927,0.0312,0.0418
0.927,0.0405,0.0325
0.9265,0.0595,0.014
0.9262,0.0531,0.0207
0.926,0.03,0.044
0.9259,0.0407,0.0334
0.9255,0.0273,0.0472
0.9254,0.0363,0.0383
0.9254,0.0555,0.0191
0.9253,0.0057,0.069
0.9253,0.0648,0.0099
0.9251,0.034,0.0409
0.925,0.0168,0.0582
0.9248,0.0528,0.0224
0.9246,0.0459,0.0295
0.9243,0.0248,0.0509
0.9242,0.0434,0.0324
0.9238,0.0243,0.0519
0.9238,0.0352,0.041
0.9237,0.0347,0.0416
0.9235,0.0436,0.0329
0.9235,0.0466,0.0299
0.9234,0.0422,0.0344
0.9233,0.0194,0.0573
0.9231,0.037,0.0399
0.9228,0.0173,0.0599
0.9227,0.0506,0.0267
0.9226,0.0397,0.0377
0.9226,0.0511,0.0263
0.9225,0.0168,0.0607
0.9224,0.0204,0.0572
0.9224,0.045,0.0326
0.9223,0.0145,0.0632
0.9222,0.0531,0.0247
0.9221,0.0336,0.0443
0.9219,0.0386,0.0395
0.9218,0.0305,0.0477
0.9213,0.038,0.0407
0.9212,0.0493,0.0295
0.9211,0.0443,0.0346
0.921,0.0432,0.0358
0.921,0.0698,0.0092
0.9209,0.0466,0.0325
0.9207,0.032,0.0473
0.9207,0.0379,0.0414
0.9204,0.0376,0.042
0.9204,0.0734,0.0062
0.9196,0.0248,0.0556
0.9195,0.0307,0.0498
0.9192,0.0497,0.0311
0.9191,0.0379,0.043
0.919,0.0273,0.0537
0.9189,0,0.0811
0.9187,0.0269,0.0544
0.9179,0.0247,0.0574
0.9178,0.0386,0.0436
0.9178,0.0402,0.042
0.9177,0.0415,0.0408
0.9176,0.0432,0.0392
0.9176,0.0471,0.0353
0.9176,0.0552,0.0272
0.9174,0.0795,0.0031
0.9173,0.0372,0.0455
0.9172,0.043,0.0398
0.917,0.0619,0.0211
0.9169,0.0232,0.0599
0.9169,0.027,0.0561
0.9167,0.0281,0.0552
0.9167,0.0497,0.0336
0.9167,0.0675,0.0158
0.9165,0.0513,0.0322
0.9162,0.0422,0.0416
0.9158,0.0284,0.0558
0.9158,0.0398,0.0444
0.9155,0.0637,0.0208
0.9153,0.0039,0.0808
0.9151,0.0555,0.0294
0.915,0.0335,0.0515
0.9149,0.046,0.0391
0.9147,0.0571,0.0282
0.9146,0.0468,0.0386
0.9144,0.0143,0.0713
0.9144,0.0462,0.0394
0.9144,0.051,0.0346
0.9144,0.0546,0.031
0.9142,0.0028,0.083
0.9142,0.0353,0.0505
0.9141,0.0307,0.0552
0.9141,0.045,0.0409
0.914,0.0414,0.0446
0.9137,0.0459,0.0404
0.9135,0.0444,0.0421
0.9135,0.0796,0.0069
0.9134,0.0231,0.0635
0.9134,0.0782,0.0084
0.9133,0.0515,0.0352
0.9129,0.0369,0.0502
0.9127,0.02,0.0673
0.9126,0.0616,0.0258
0.9124,0.0148,0.0728
0.9123,0.0189,0.0688
0.9122,0.0124,0.0754
0.9121,0.0029,0.085
0.9118,0.0538,0.0344
0.9113,0.0147,0.074
0.9112,0.0532,0.0356
0.9111,0.0563,0.0326
0.911,0.0296,0.0594
0.911,0.0413,0.0477
0.911,0.045,0.044
